title,genres_clean,companies_names,director
entrapment,"Romance, Drama, Mystery","Fountainbridge Films, Regency Enterprises",Jon Amiel
idle hands,"Thriller, Comedy, Horror","Columbia Pictures Corporation, Team Todd, Licht/Mueller Film Corporation",Rodman Flender
get real,"Drama, Romance",no register,Simon Shore
heaven,"Crime, Thriller",Miramax Films,Scott Reynolds
the king of masks,Drama,Shaw Brothers,Wu Tian-Ming
three seasons,"Drama, Foreign","October Films, Open City Films, Giai Phong Film Studio",Tony Bui
the winslow boy,Drama,Winslow Partners Ltd.,David Mamet
mildred pierce,"Crime, Drama",Warner Bros.,Michael Curtiz
night of the comet,"Comedy, Horror, Science Fiction","Thomas Coleman and Michael Rosenblatt Productions, Film Development Fund, Atlantic Releasing Corporation",Thom Eberhardt
chopping mall,"Horror, Science Fiction","Concorde Pictures, Trinity Pictures",Jim Wynorski
my science project,"Comedy, Family, Fantasy, Science Fiction","Touchstone Pictures, Silver Screen Partners II",Jonathan R. Betuel
dick tracy,"Adventure, Action, Comedy, Thriller, Crime",Touchstone Pictures,Warren Beatty
the mummy,"Adventure, Action, Fantasy","Universal Pictures, Alphaville Films",Stephen Sommers
the castle,"Drama, Comedy","Working Dog, Village Roadshow Entertainment",Rob Sitch
mascara,no register,no register,Linda Kandel
this is my father,"Drama, Romance","Filmline International, Hummingbird Communications",Paul Quinn
xiu xiu: the sent-down girl,"Drama, Foreign",no register,Joan Chen
a midsummer night's dream,"Fantasy, Drama, Comedy, Romance","Fox Searchlight Pictures, Regency Enterprises, Taurus Film",Michael Hoffman
trippin',"Comedy, Romance",Beacon Communications,David Raynr
after life,"Fantasy, Drama","Engine Films, Sputnik Productions, TV Man Union",Hirokazu Koreeda
black mask,Action,"Distant Horizons, Film Workshop, Win's Entertainment Ltd.",Daniel Lee
edge of seventeen,"Comedy, Drama, Romance",TLA Releasing,David Moreton
endurance,Drama,no register,Leslie Woodhead
star wars: episode i - the phantom menace,"Adventure, Action, Science Fiction",Lucasfilm,George Lucas
the love letter,"Comedy, Drama, Romance","DreamWorks SKG, Sanford/Pillsbury Productions",Peter Chan
besieged,"Drama, Romance","Mediaset, Fiction Films, Navert Film",Bernardo Bertolucci
frogs for snakes,"Thriller, Comedy, Crime","Shooting Gallery, Rain film",Amos Poe
the saragossa manuscript,"Comedy, Drama, Fantasy, Mystery",Kamera Film Unit,Wojciech Has
the mummy,Horror,Universal Pictures,Karl Freund
the mummy,Horror,Hammer Film Productions,Terence Fisher
the mummy's curse,Horror,Universal Pictures Co. Inc.,Leslie Goodwins
the mummy's ghost,Horror,Universal Pictures,Reginald Le Borg
the mummy's hand,Horror,Universal Pictures,Christy Cabanne
the mummy's tomb,"Drama, Fantasy, Horror, Mystery, Thriller",Universal Pictures,Harold Young
mommie dearest,Drama,Paramount Pictures,Frank Perry
superman,"Action, Adventure, Fantasy, Science Fiction","Warner Bros., Dovemead Films, Film Export A.G.",Richard Donner
superman ii,"Action, Adventure, Fantasy, Science Fiction","Warner Bros., Dovemead Films, Film Export A.G.",Richard Lester
superman iii,"Comedy, Action, Adventure, Fantasy, Science Fiction","Warner Bros., Dovemead Films, Cantharus Productions",Richard Lester
superman iv: the quest for peace,"Action, Adventure, Science Fiction","Cannon Films, Warner Bros., London-Cannon Films, Golan-Globus Productions",Sidney J. Furie
dracula,Horror,Universal Pictures,Tod Browning
house of dracula,"Horror, Science Fiction",Universal Pictures,Erle C. Kenton
house of frankenstein,"Fantasy, Horror, Science Fiction, Thriller",Universal Pictures,Erle C. Kenton
frankenstein,"Drama, Horror, Science Fiction",Universal Pictures,James Whale
son of frankenstein,"Horror, Science Fiction",Universal Pictures,Rowland V. Lee
the ghost of frankenstein,"Fantasy, Horror, Science Fiction",Universal Pictures,Erle C. Kenton
frankenstein meets the wolf man,"Fantasy, Horror, Science Fiction",Universal Pictures Co. Inc.,Roy William Neill
the curse of frankenstein,"Horror, Science Fiction",Hammer Film Productions,Terence Fisher
son of dracula,"Fantasy, Horror",Universal Pictures,Robert Siodmak
the wolf man,"Horror, Drama",Universal Pictures,George Waggner
howling ii: stirba - werewolf bitch,"Thriller, Horror","Hemdale, Cinema '84/Greenberg Brothers Partnership",Philippe Mora
tarantula,"Horror, Science Fiction, Thriller",Universal International Pictures (UI),Jack Arnold
the rocky horror picture show,"Comedy, Horror, Music, Science Fiction","Twentieth Century Fox Film Corporation, Michael White Productions",Jim Sharman
the flying saucer,"Thriller, Science Fiction",Colonial Productions,Mikel Conrad
it came from hollywood,"Comedy, Documentary",Paramount Pictures,Andrew Solt
the thing from another world,"Horror, Science Fiction","RKO Radio Pictures, Winchester Pictures Corporation",Christian Nyby
it came from outer space,"Horror, Science Fiction",Universal International Pictures (UI),Jack Arnold
the war of the worlds,"Horror, Science Fiction, Thriller",Paramount Pictures,Byron Haskin
it came from beneath the sea,"Horror, Science Fiction","Columbia Pictures, Clover Productions",Robert Gordon
invasion of the body snatchers,"Horror, Science Fiction","Allied Artists Pictures, Walter Wanger Productions",Don Siegel
earth vs. the flying saucers,"Action, Science Fiction","Columbia Pictures Corporation, Clover Productions",Fred F. Sears
it conquered the world,"Horror, Science Fiction, Thriller",Sunset Productions,Roger Corman
the mole people,"Adventure, Fantasy, Horror, Science Fiction",Universal International Pictures (UI),Virgil W. Vogel
swamp thing,"Horror, Science Fiction",DC Comics,Wes Craven
pork chop hill,"Action, War, Drama","United Artists, Melville Productions",Lewis Milestone
"run silent, run deep","Drama, War","Hill-Hecht-Lancaster Productions, Jeffrey Pictures Corp.",Robert Wise
notting hill,"Romance, Comedy, Drama","Bookshop Productions, Notting Hill Pictures, Working Title Films, Polygram Filmed Entertainment",Roger Michell
the thirteenth floor,"Thriller, Science Fiction, Mystery","Columbia Pictures, Centropolis Film Productions",Josef Rusnak
eternity and a day,Drama,"Arte, Paradis Films, Istituto Luce, Eurimages, Canal+, Westdeutscher Rundfunk (WDR), Greek Film Center, Greek Television ET-1, La Sept Cinéma, Intermédias, Theo Angelopoulos Films, Classic",Theo Angelopoulos
the loss of sexual innocence,Drama,"Summit Entertainment, Newmarket Capital Group, Red Mullet Productions",Mike Figgis
twice upon a yesterday,"Comedy, Drama, Romance","HandMade Films, CLT, Escima",María Ripoll
instinct,"Drama, Mystery, Thriller","Spyglass Entertainment, Touchstone Pictures",Jon Turteltaub
buena vista social club,"Documentary, Music",no register,Wim Wenders
desert blue,"Comedy, Drama","Ignite Entertainment, HSX Films",Morgan J. Freeman
a place at the table,Documentary,no register,Kristi Jacobson
a place at the table,Documentary,no register,Kristi Jacobson
floating,Drama,no register,William Roth
free enterprise,"Comedy, Romance","Mindfire Entertainment, Triad Studios",Robert Meyer Burnett
limbo,"Adventure, Drama, Thriller",no register,John Sayles
austin powers: the spy who shagged me,"Adventure, Comedy, Crime, Science Fiction","New Line Cinema, Eric's Boy",Jay Roach
promise her anything,"Comedy, Drama, Fantasy","Open City Films, Counterclock Productions",Alain Zaloum
the red dwarf,"Drama, Comedy",no register,Yvan Le Moine
the red violin,"Drama, Thriller, Mystery, Music, Romance","Rhombus Media, Channel Four Films",François Girard
tarzan,"Adventure, Animation, Drama, Family",Walt Disney Pictures,Kevin Lima
the general's daughter,"Crime, Drama, Mystery, Thriller","Paramount Pictures, MFP Munich Film Partners GmbH & Company I. Produktions KG, Krane Entertainment, Neufeld Rehme Productions",Simon West
get bruce!,"Comedy, Documentary",no register,Andrew J. Kuehn
an ideal husband,"Drama, Comedy, Romance","Miramax Films, Pyramide Productions",Oliver Parker
the legend of 1900,Fantasy,"Medusa Film, Sciarlò",Giuseppe Tornatore
run lola run,"Action, Drama, Thriller","X-Filme Creative Pool, Westdeutscher Rundfunk (WDR)",Tom Tykwer
trekkies,Documentary,no register,Roger Nygard
big daddy,"Comedy, Drama",Columbia Pictures,Dennis Dugan
the boys,Drama,"New South Wales Film & Television Office, Arena Films, Axiom Films, Globe Films, SBS Independent, Screen Partners Ltd.",Rowan Woods
the dinner game,Comedy,"Gaumont, TPS Cinéma, TF1 Films Production, EFVE",Francis Veber
my son the fanatic,"Drama, Comedy, Foreign",no register,Udayan Prasad
zone 39,Science Fiction,Australian Film Finance Corporation (AFFC),John Tatoulis
arachnophobia,"Comedy, Horror","Amblin Entertainment, Hollywood Pictures, Tangled Web Productions",Frank Marshall
"south park: bigger, longer & uncut","Animation, Comedy, Music","Paramount Pictures, Scott Rudin Productions, Comedy Central, Warner Bros., Comedy Central Films, Comedy Partners",Trey Parker
wild wild west,"Action, Adventure, Comedy, Science Fiction, Western","Todman, Simon, LeMasters Productions, Warner Bros., Peters Entertainment, Sonnenfeld Josephson Worldwide Entertainment",Barry Sonnenfeld
summer of sam,"Thriller, Drama, Crime, Romance","40 Acres & A Mule Filmworks, Touchstone Pictures",Spike Lee
broken vessels,Drama,no register,Scott Ziehl
les amants du pont-neuf,"Drama, Romance","Les Films Christian Fechner, Films A2, Gaumont International",Leos Carax
"late august, early september","Drama, Foreign","Cinéa, Canal+",Olivier Assayas
american pie,"Comedy, Romance","Universal Pictures, Summit Entertainment, Newmarket Capital Group, Zide-Perry Productions",Chris Weitz
arlington road,"Drama, Thriller, Mystery","Lakeshore Entertainment, Screen Gems, Arlington Road Productions Corporation, Gorai / Samuelson Productions, Samuelson Productions",Mark Pellington
autumn tale,"Drama, Romance","Les Films du Losange, Rhône-Alpes Cinéma, La Sept Cinéma",Éric Rohmer
muppets from space,"Fantasy, Comedy, Science Fiction, Family","Columbia Pictures, Jim Henson Company, The",Tim Hill
the blair witch project,"Horror, Mystery","Artisan Entertainment, Haxan Films",Daniel Myrick
my life so far,"Comedy, Drama","Miramax Films, Enigma Productions, Hudson Film",Hugh Hudson
eyes wide shut,"Mystery, Drama","Hobby Films, Pole Star, Stanley Kubrick Productions, Warner Bros.",Stanley Kubrick
lake placid,"Horror, Comedy, Action, Science Fiction, Thriller","Fox 2000 Pictures, Phoenix Pictures, Rocking Chair Productions",Steve Miner
the wood,"Comedy, Drama, Romance",MTV Films,Rick Famuyiwa
the velocity of gary,"Drama, Romance","Ventanarosa Productions, Cineville, Columbia TriStar Home Video, Dan Lupovitz Productions",Dan Ireland
ghostbusters,"Comedy, Fantasy","Columbia Pictures Corporation, Delphi Films, Black Rhino Productions",Ivan Reitman
ghostbusters ii,"Comedy, Fantasy",Columbia Pictures Corporation,Ivan Reitman
drop dead gorgeous,Comedy,"New Line Cinema, Capella International, KC Medien AG",Michael Patrick Jann
the haunting,"Horror, Thriller, Fantasy, Mystery","DreamWorks, Roth-Arnold Productions",Jan de Bont
inspector gadget,"Action, Adventure, Comedy, Family","Walt Disney Pictures, Caravan Pictures, DiC Entertainment",David Kellogg
trick,"Comedy, Romance",Fine Line Features,Jim Fall
deep blue sea,"Action, Science Fiction, Thriller","Village Roadshow Pictures, Warner Bros., Riche-Ludwig Productions, Groucho III Film Partnership",Renny Harlin
mystery men,"Adventure, Fantasy, Action, Comedy, Science Fiction","Universal Pictures, Dark Horse Entertainment, Golar Productions",Kinka Usher
runaway bride,"Comedy, Romance","Paramount Pictures, Lakeshore Entertainment, Touchstone Pictures, Interscope Communications",Garry Marshall
twin falls idaho,"Drama, Romance",no register,Michael Polish
the killing,"Drama, Action, Thriller, Crime","United Artists, Harris-Kubrick Productions",Stanley Kubrick
killer's kiss,"Crime, Drama, Thriller",Minotaur Productions,Stanley Kubrick
spartacus,"Action, Drama, History","Bryna Productions, Universal International Pictures (UI)",Stanley Kubrick
lolita,"Drama, Romance","Seven Arts Productions, Allied Artists, Transworld Pictures",Stanley Kubrick
barry lyndon,"Drama, Romance, War","Hawk Films, Warner Bros., Peregrine",Stanley Kubrick
the 400 blows,Drama,"Les Films du Carrosse, Sédif Productions, The Criterion Collection",François Truffaut
jules and jim,"Drama, Romance","Les Films du Carrosse, Sédif Productions (as S.E.D.I.F.)",François Truffaut
vibes,"Romance, Action, Comedy","Imagine Entertainment, Columbia Pictures Corporation",Ken Kwapis
the mosquito coast,"Adventure, Drama",Warner Bros.,Peter Weir
the golden child,"Action, Adventure, Comedy",Paramount Pictures,Michael Ritchie
brighton beach memoirs,"Comedy, Drama, Romance",Rastar Pictures,Gene Saks
assassination,"Drama, Action, Thriller",Cannon Group,Peter R. Hunt
crimes of the heart,"Drama, Family","De Laurentiis Entertainment Group (DEG), De Laurentiis, Crimes of the Heart S.A",Bruce Beresford
the color purple,Drama,"Amblin Entertainment, The Guber-Peters Company, Warner Bros.",Steven Spielberg
the kindred,"Horror, Science Fiction",Kindred Limited Partnership,Stephen Carpenter
no mercy,"Action, Crime, Thriller",TriStar Pictures,Richard Pearce
ménage,"Crime, Drama, Comedy","Ciné Valse, DD Productions, Philippe Dussart S.a.r.l.",Bertrand Blier
native son,Drama,"American Playhouse, Cinétudes Films",Jerrold Freedman
otello,no register,no register,Franco Zeffirelli
the mission,"Adventure, Drama, Action, History","Goldcrest Films International, AMLF, Warner Bros., Enigma Productions, Kingsmere Productions Ltd.",Roland Joffé
little shop of horrors,"Horror, Comedy, Music","The Geffen Company, Warner Bros.",Frank Oz
the little shop of horrors,Comedy,Santa Clara Productions,Roger Corman
allan quatermain and the lost city of gold,"Action, Adventure, Comedy",Golan-Globus,Gary Nelson
the morning after,"Crime, Drama, Mystery, Thriller","Lorimar Productions, American Filmworks",Sidney Lumet
radio days,"Comedy, Drama",Orion Pictures,Woody Allen
from the hip,"Comedy, Drama",no register,Bob Clark
outrageous fortune,"Action, Comedy, Mystery","Touchstone Pictures, Interscope Communications, Silver Screen Partners II",Arthur Hiller
the bedroom window,"Crime, Thriller, Mystery",De Laurentiis Entertainment Group (DEG),Curtis Hanson
deadtime stories,"Horror, Thriller","Overseas FilmGroup, Scary Stuff",Jeffery Delman
light of day,"Music, Drama","Keith Barish Productions, TAFT Entertainment Pictures, Home Box Office (HBO)",Paul Schrader
wanted: dead or alive,"Action, Thriller, Crime, Drama",New World Pictures,Gary Sherman
frances,Drama,"Brooksfilms, EMI Films",Graeme Clifford
plenty,"Drama, Romance",Pressman Productions,Fred Schepisi
dick,Comedy,Columbia Pictures,Andrew Fleming
the gambler,no register,no register,Károly Makk
the iron giant,"Adventure, Animation, Family, Fantasy, Science Fiction",Warner Bros. Animation,Brad Bird
the sixth sense,"Mystery, Thriller, Drama","Spyglass Entertainment, The Kennedy/Marshall Company, Hollywood Pictures, Barry Mendel Productions",M. Night Shyamalan
the thomas crown affair,"Drama, Crime, Romance","Irish Dreamtime, Metro-Goldwyn-Mayer (MGM)",John McTiernan
the thomas crown affair,"Romance, Crime, Thriller, Drama","The Mirisch Corporation, Solar Productions, Simkoe",Norman Jewison
the acid house,"Comedy, Drama",no register,Paul McGuigan
the adventures of sebastian cole,"Drama, Comedy",no register,Tod Williams
illuminata,Drama,"Overseas FilmGroup, GreeneStreet Films, JVC Entertainment Networks, Sogepaq, CDI",John Turturro
